Stock,Samples,Class_Balance,Confidence,Threshold,Accuracy,Precision,Recall,F1-score,AUC,AUPR,MSE,RMSE,MAE,Reliable
002271.SZ,2,0.0,0.0,0.24534198765275156,0.5,0.0,0.0,0.0,0.5,0.5,0.05421872141416373,0.2328491387447326,0.2326938733458519,False
600418.SH,11,0.36363636363636365,0.2412090756622109,1.0,0.36363636363636365,0.0,0.0,0.0,0.5,0.5,0.026540614599808318,0.1629129049517205,0.13824985616586424,False
600104.SH,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5833333333333333,0.1534577940445511,0.39173689390272026,0.3750799894332886,False
601988.SH,15,0.0,0.0,0.9979189038276672,0.4666666666666667,1.0,0.4666666666666667,0.6363636363636364,0.5,0.5,0.0021861084382689927,0.0467558385473835,0.03529764413833618,False
600009.SH,2,0.5,0.1414213562373095,0.29233525915758307,1.0,1.0,1.0,1.0,1.0,1.0,0.06776547869711047,0.2603180337531583,0.2416592389345169,False
601211.SH,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.06771506794624393,0.2602211904250765,0.25942106544971466,False
002120.SZ,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0050046851266074555,0.07074379920959473,0.07074379920959473,False
002460.SZ,9,0.4444444444444444,0.26666666666666666,0.008421219012426713,1.0,1.0,1.0,1.0,1.0,1.0,0.011303414280016478,0.10631751633675647,0.09857798781659868,False
601857.SH,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.09753498789389425,0.3123059203631821,0.3120945692062378,False
601688.SH,3,0.0,0.0,0.8311651110952638,0.3333333333333333,1.0,0.3333333333333333,0.5,0.5,0.5,0.008862824888913915,0.09414257744991857,0.09410113096237183,False
000651.SZ,8,0.25,0.1414213562373095,0.8179029740990158,0.75,1.0,0.6666666666666666,0.8,0.5,0.5,0.014722622838223398,0.12133681567530688,0.11115812137722969,False
600039.SH,4,0.25,0.1,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.019667164735320302,0.14023966890762507,0.07297743391245604,False
300024.SZ,2,0.0,0.0,-0.10264579951763153,0.5,0.0,0.0,0.0,0.5,0.5,0.01061769781798505,0.10304221376690745,0.10264579951763153,False
000661.SZ,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.1943076450534278,0.4408034086227417,0.4408034086227417,False
300014.SZ,11,0.4545454545454546,0.30151134457776363,1.0,0.45454545454545453,0.0,0.0,0.0,1.0,1.0,0.016546363529596375,0.1286326689826359,0.12084694443778558,False
